Steps,Actual,Goal,year
Jan,244793,322380,2021
Feb,261185,346610,2021
Mar,358348,470070,2021
Apr,40802,46790,2021
May,0,0,2021
Jun,0,0,2021
Aug,110211,129700,2021
Sep,306569,300030,2021
Oct,307386,349580,2021
Nov,308520,274730,2021
Dec,93760,110230,2021
