Floors Climbed,Floors Climbed.1,Goal,Floors Descended,year
Jan,489,310,467,2020
Feb,606,290,643,2020
Mar,799,310,800,2020
Apr,292,300,272,2020
May,385,310,341,2020
Jun,545,300,521,2020
Jul,314,310,257,2020
Aug,629,310,574,2020
Sep,463,300,469,2020
Oct,328,310,291,2020
Nov,179,300,206,2020
Dec,167,310,189,2020
