Steps,Actual,Goal,year
Jan,0,0,2019
Feb,39439,48010,2019
Mar,283668,247410,2019
Apr,385926,426420,2019
May,591441,518500,2019
Jun,418314,441720,2019
Jul,590679,612810,2019
Aug,575206,597070,2019
Sep,471582,448570,2019
Oct,528584,548490,2019
Nov,408368,459940,2019
Dec,447579,412090,2019
