Floors Climbed,Floors Climbed.1,Goal,Floors Descended,year
Jan,0,0,0,2019
Feb,77,40,119,2019
Mar,343,180,473,2019
Apr,440,300,483,2019
May,587,310,618,2019
Jun,422,230,373,2019
Jul,511,300,680,2019
Aug,494,310,638,2019
Sep,681,300,776,2019
Oct,851,310,833,2019
Nov,557,300,528,2019
Dec,302,310,345,2019
